orig_text,reporting_date
"American B763 at Ft. Lauderdale on Feb 8th 2008, rejected takeoff after diversion",2008-02-10
"Sibir A310 at Novosibirsk on Feb 10th 2008, drop of oil pressure forces return",2008-02-10
"TAM A332 at Miami on Feb 8th 2008, engine and FADEC failure",2008-02-10
"Continental B757 at Newark on Feb 9th 2008, lightening strike forces return",2008-02-11
"Iberia A320 at Madrid  on Feb 10th 2008, gear door problems",2008-02-11
"British Airways B744 at Heathrow on Feb 10th 2008, flap jam after departure",2008-02-12
"United B735 near Sacramento on Feb 12th 2008, oil filter warning prompts diversion",2008-02-12
"Donbassaero A320 at Istanbul on Feb 12th 2008, missed turn off and ended in grass",2008-02-13
"RyanAir B738 at Bristol on Feb 12th 2008, flapless landing",2008-02-13
"Delta B738 near New York City on Feb 13th 2008, turbulence injures FA",2008-02-14
"Frontier A319 near Salt Lake City on Feb 13th 2008, turbulence injures 3 FAs",2008-02-14
"American B752 at Las Vegas on Feb 14th 2008, went below required fuel reserves",2008-02-15
"Cargojet B727 near Halifax on Feb 14th 2008, smoke",2008-02-15
"ExpressJet E145 near Syracuse on Feb 14th 2008, smell of smoke",2008-02-15
"One Two Go MD82 at Chiang Mai on Feb 15th 2008, vibrations prompt return",2008-02-15
"SkyWest E120 at Cedar City on Feb 14th 2008, struck runway lights",2008-02-15
"Jetblue A320 at Boston on Feb 15th 2008, rejected takeoff due to runway incursion",2008-02-16
"NorthWest CRJ200 at Casper on Feb 15th 2008, flaps problems",2008-02-16
